CRS_ID,Measured_point_ID,X,Y,Z,Distance,Interval
3956,5005,710675.1536933169,6103639.921105951,-1.825225,1.6000000001567487,0.4
3956,5006,710674.9852487942,6103639.558302365,-1.825225,1.6000000001567487,0.4
3956,5007,710674.8168042715,6103639.195498778,-1.825225,1.6000000001567487,0.4
3956,5008,710674.6483597489,6103638.832695192,-1.825225,1.6000000001567487,0.4
3956,5009,710674.4799152262,6103638.469891604,-1.825225,1.6000000001567487,0.4
3956,5010,710674.3114707036,6103638.107088018,-1.825225,1.6000000001567487,0.4
3956,5011,710674.1430261809,6103637.7442844305,-1.825225,1.6000000001567487,0.4
3956,5012,710673.9745816583,6103637.381480845,-1.825225,1.6000000001567487,0.4
3956,5013,710673.8061371356,6103637.018677257,-1.825225,1.6000000001567487,0.4
3956,5014,710673.637692613,6103636.655873671,-1.825225,1.6000000001567487,0.4
3956,5015,710673.4692480903,6103636.2930700835,-1.825225,1.6000000001567487,0.4
3956,5016,710673.3008035676,6103635.930266498,-1.825225,1.6000000001567487,0.4
3956,5017,710673.132359045,6103635.56746291,-1.825225,1.6000000001567487,0.4
3956,5018,710672.9639145223,6103635.204659324,-1.825225,1.6000000001567487,0.4
3956,5019,710672.7954699997,6103634.841855736,-1.825225,1.6000000001567487,0.4
3956,5020,710672.627025477,6103634.479052151,-1.825225,1.6000000001567487,0.4
3956,5021,710672.4585809543,6103634.116248563,-1.825225,1.6000000001567487,0.4
3956,5022,710672.2901364317,6103633.753444977,-1.825225,1.6000000001567487,0.4
3956,5023,710672.121691909,6103633.390641389,-1.825225,1.6000000001567487,0.4
3956,5024,710671.9532473864,6103633.027837804,-1.825225,1.6000000001567487,0.4
3956,5025,710671.7848028637,6103632.665034216,-1.825225,1.6000000001567487,0.4
3956,5026,710671.6163583411,6103632.30223063,-1.825225,1.6000000001567487,0.4
3956,5027,710671.4479138184,6103631.939427042,-1.825225,1.6000000001567487,0.4
3956,5028,710671.2794692958,6103631.576623457,-1.825225,1.6000000001567487,0.4
3956,5029,710671.1110247731,6103631.213819869,-1.825225,1.6000000001567487,0.4
3956,5030,710670.9425802504,6103630.851016283,-1.825225,1.6000000001567487,0.4
3956,5031,710670.7741357278,6103630.488212695,-1.825225,1.6000000001567487,0.4
3956,5032,710670.6056912051,6103630.1254091095,-1.825225,1.6000000001567487,0.4
3956,5033,710670.4372466825,6103629.762605522,-1.825225,1.6000000001567487,0.4
3956,5034,710670.2688021598,6103629.399801936,-1.825225,1.6000000001567487,0.4
3956,5035,710670.1003576372,6103629.036998348,-1.825225,1.6000000001567487,0.4
3956,5036,710669.9319131145,6103628.6741947625,-1.825225,1.6000000001567487,0.4
3956,5037,710669.7634685918,6103628.311391175,-1.825225,1.6000000001567487,0.4
3956,5038,710669.5950240692,6103627.948587589,-1.825225,1.6000000001567487,0.4
3956,5039,710669.4265795465,6103627.585784001,-1.825225,1.6000000001567487,0.4
3956,5040,710669.2581350239,6103627.222980415,-1.825225,1.6000000001567487,0.4
3956,5041,710669.0896905012,6103626.860176828,-1.825225,1.6000000001567487,0.4
3956,5042,710668.9212459786,6103626.497373242,-1.825225,1.6000000001567487,0.4
3956,5043,710668.7528014559,6103626.134569654,-1.825225,1.6000000001567487,0.4
3956,5044,710668.5843569333,6103625.771766068,-1.825225,1.6000000001567487,0.4
3956,5045,710668.4159124106,6103625.408962481,-1.825225,1.6000000001567487,0.4
3956,5046,710668.2474678879,6103625.046158895,-1.825225,1.6000000001567487,0.4
3956,5047,710668.0790233653,6103624.683355307,-1.825225,1.6000000001567487,0.4
3956,5048,710667.9105788426,6103624.320551721,-1.825225,1.6000000001567487,0.4
3956,5049,710667.74213432,6103623.957748134,-1.825225,1.6000000001567487,0.4
3956,5050,710667.5736897973,6103623.594944548,-1.825225,1.6000000001567487,0.4
3956,5051,710667.4052452747,6103623.23214096,-1.825225,1.6000000001567487,0.4
3956,5052,710667.236800752,6103622.869337374,-1.825225,1.6000000001567487,0.4
3956,5053,710667.0683562293,6103622.506533787,-1.825225,1.6000000001567487,0.4
3956,5054,710666.8999117067,6103622.143730201,-1.825225,1.6000000001567487,0.4
3956,5055,710666.731467184,6103621.780926613,-1.825225,1.6000000001567487,0.4
3956,5056,710666.5630226614,6103621.418123027,-1.825225,1.6000000001567487,0.4
3956,5057,710666.3945781387,6103621.05531944,-1.825225,1.6000000001567487,0.4
3956,5058,710666.2261336161,6103620.692515854,-1.825225,1.6000000001567487,0.4
3956,5059,710666.0576890934,6103620.329712266,-1.825225,1.6000000001567487,0.4
3956,5060,710665.8892445707,6103619.96690868,-1.825225,1.6000000001567487,0.4
3956,5061,710665.7208000481,6103619.604105093,-1.825225,1.6000000001567487,0.4
3956,5062,710665.5523555254,6103619.241301507,-1.825225,1.6000000001567487,0.4
3956,5063,710665.3839110028,6103618.878497919,-1.825225,1.6000000001567487,0.4
3956,5064,710665.2154664801,6103618.515694333,-1.825225,1.6000000001567487,0.4
3956,5065,710665.0470219575,6103618.152890746,-1.825225,1.6000000001567487,0.4
3956,5066,710664.8785774348,6103617.79008716,-1.825225,1.6000000001567487,0.4
3956,5067,710664.7101329122,6103617.427283572,-1.825225,1.6000000001567487,0.4
3956,5068,710664.5416883895,6103617.064479986,-1.825225,1.6000000001567487,0.4
3956,5069,710664.3732438668,6103616.7016763985,-1.5506495,1.6000000001567487,0.4
3956,5070,710664.2047993442,6103616.338872813,-1.5506495,1.6000000001567487,0.4
3956,5071,710664.0363548215,6103615.976069225,-1.5506495,1.6000000001567487,0.4
