CRS_ID,Measured_point_ID,X,Y,Z,Distance,Interval
3957,6256,710673.7024789684,6103640.594884042,0,1.6000000001567487,0.4
3957,6257,710673.5340344458,6103640.232080456,0,1.6000000001567487,0.4
3957,6258,710673.3655899231,6103639.869276868,0,1.6000000001567487,0.4
3957,6259,710673.1971454005,6103639.506473282,0,1.6000000001567487,0.4
3957,6260,710673.0287008778,6103639.143669695,0,1.6000000001567487,0.4
3957,6261,710672.8602563551,6103638.780866109,0,1.6000000001567487,0.4
3957,6262,710672.6918118325,6103638.418062521,0,1.6000000001567487,0.4
3957,6263,710672.5233673098,6103638.055258935,0,1.6000000001567487,0.4
3957,6264,710672.3549227872,6103637.692455348,0,1.6000000001567487,0.4
3957,6265,710672.1864782645,6103637.329651762,0,1.6000000001567487,0.4
3957,6266,710672.0180337419,6103636.966848174,0,1.6000000001567487,0.4
3957,6267,710671.8495892192,6103636.604044588,0,1.6000000001567487,0.4
3957,6268,710671.6811446965,6103636.241241001,0,1.6000000001567487,0.4
3957,6269,710671.5127001739,6103635.878437415,0,1.6000000001567487,0.4
3957,6270,710671.3442556512,6103635.515633827,0,1.6000000001567487,0.4
3957,6271,710671.1758111286,6103635.152830241,0,1.6000000001567487,0.4
3957,6272,710671.0073666059,6103634.790026654,0,1.6000000001567487,0.4
3957,6273,710670.8389220833,6103634.427223068,0,1.6000000001567487,0.4
3957,6274,710670.6704775606,6103634.06441948,0,1.6000000001567487,0.4
3957,6275,710670.502033038,6103633.701615894,0,1.6000000001567487,0.4
3957,6276,710670.3335885153,6103633.3388123065,0,1.6000000001567487,0.4
3957,6277,710670.1651439926,6103632.976008721,0,1.6000000001567487,0.4
3957,6278,710669.99669947,6103632.613205133,0,1.6000000001567487,0.4
3957,6279,710669.8282549473,6103632.250401547,0,1.6000000001567487,0.4
3957,6280,710669.6598104247,6103631.8875979595,0,1.6000000001567487,0.4
3957,6281,710669.491365902,6103631.524794374,0,1.6000000001567487,0.4
3957,6282,710669.3229213794,6103631.161990786,0,1.6000000001567487,0.4
3957,6283,710669.1544768567,6103630.7991872,0,1.6000000001567487,0.4
3957,6284,710668.986032334,6103630.436383612,0,1.6000000001567487,0.4
3957,6285,710668.8175878114,6103630.073580027,0,1.6000000001567487,0.4
3957,6286,710668.6491432887,6103629.710776439,0,1.6000000001567487,0.4
3957,6287,710668.4806987661,6103629.347972853,0,1.6000000001567487,0.4
3957,6288,710668.3122542434,6103628.985169265,0,1.6000000001567487,0.4
3957,6289,710668.1438097208,6103628.62236568,0,1.6000000001567487,0.4
3957,6290,710667.9753651981,6103628.259562092,0,1.6000000001567487,0.4
3957,6291,710667.8069206754,6103627.896758506,0,1.6000000001567487,0.4
3957,6292,710667.6384761528,6103627.533954918,0,1.6000000001567487,0.4
3957,6293,710667.4700316301,6103627.171151333,0,1.6000000001567487,0.4
3957,6294,710667.3015871075,6103626.808347745,0,1.6000000001567487,0.4
3957,6295,710667.1331425848,6103626.445544159,0,1.6000000001567487,0.4
3957,6296,710666.9646980622,6103626.082740571,0,1.6000000001567487,0.4
3957,6297,710666.7962535395,6103625.7199369855,0,1.6000000001567487,0.4
3957,6298,710666.6278090168,6103625.357133398,0,1.6000000001567487,0.4
3957,6299,710666.4593644942,6103624.994329812,0,1.6000000001567487,0.4
3957,6300,710666.2909199715,6103624.631526224,0,1.6000000001567487,0.4
3957,6301,710666.1224754489,6103624.2687226385,0,1.6000000001567487,0.4
3957,6302,710665.9540309262,6103623.905919051,0,1.6000000001567487,0.4
3957,6303,710665.7855864036,6103623.543115465,0,1.6000000001567487,0.4
3957,6304,710665.6171418809,6103623.180311877,0,1.6000000001567487,0.4
3957,6305,710665.4486973583,6103622.817508291,0,1.6000000001567487,0.4
3957,6306,710665.2802528356,6103622.454704704,0,1.6000000001567487,0.4
3957,6307,710665.1118083129,6103622.091901118,0,1.6000000001567487,0.4
